Description|API|DATABASE|SAMPLE|Pricing
World Bank Public Sector Debt|Time-Series|WPSD|KSV_DP_DOD_DECF_CR_BC_CD|Free
World Bank Poverty Statistics|Time-Series|WPOV|IDN_SI_POV_NOP1|Free
World Bank Millennium Development Goals|Time-Series|WMDG|VNM_NY_AGR_SUBS_GD_ZS|Free
World Bank Jobs for Knowledge Platform|Time-Series|WJKP|ZWE_DB_NOTICE_5YR|Free
World Bank International Development Association|Time-Series|WIDA|TJK_EG_ELC_HOUS_ZS|Free
World Bank Health Nutrition and Population Statistics|Time-Series|WHNP|SWE_SH_HIV_ORPH|Free
World Bank Global Findex (Global Financial Inclusion database)|Time-Series|WGLF|TZA_WP11632_8|Free
World Bank Global Financial Development|Time-Series|WGFD|VUT_GFDD_SI_05|Free
World Bank GEP Economic Prospects|Time-Series|WGEP|ZWE_BNCABFUNDCD_|Free
World Bank Gender Statistics|Time-Series|WGEN|MMR_SP_M18_2024_FE_ZS|Free
World Bank Global Economic Monitor|Time-Series|WGEM|MNG_CPTOTSAXN|Free
World Bank Global Economic Monitor (GEM) Commodities|Time-Series|WGEC|WLD_ZINC|Free
World Bank Global Development Finance|Time-Series|WGDF|RUS_DT_AMT_DPNG_CD|Free
World Bank Enterprise Surveys|Time-Series|WESV|THA_IC_FRM_CORR_CORR3|Free
World Bank Education Statistics|Time-Series|WEDU|ZWE_MYS_PROP_80UP_TER_MF|Free
World Bank Doing Business|Time-Series|WDBU|VCT_IC_ISV_COST|Free
World Bank Corporate Scorecard|Time-Series|WCSC|UMC_IQ_SCI_OVRL|Free
World Bank Africa Development Indicators|Time-Series|WADI|CHI_SL_TLF_ACTI_1524_ZS|Free
European Central Bank|Time-Series|ECB|BLS_Q_U2_ALL_FCOB_B_Z_F6_AP_D_BWSD|Free
National Securities Depository Limited (India)|Time-Series|NSDL|DIF|Free
Statistics Bureau of Japan|Time-Series|SBJ|307|Free
Frankfurt Stock Exchange|Time-Series|FSE|ZO1_X|Free
Boerse Stuttgart|Time-Series|SSE|NA8P|Free
London Stock Exchange|Time-Series|LSE|XUTC|Free
Hong Kong Exchange|Time-Series|HKEX|62672|Free
Warsaw Stock Exchange (GPW)|Time-Series|WSE|BAHOLDING|Free
Euronext Stock Exchange|Time-Series|EURONEXT|MLAIM|Free
Polish Power Exchange (TGE)|Time-Series|PPE|GB2018W02|Free
Shanghai Futures Exchange|Time-Series|SHFE|FUZ2018|Free
South African Futures Exchange|Time-Series|SAFEX|YMAZG2018|Free
BarclayHedge|Time-Series|BARH|BT50HR|Free
Bucharest Stock Exchange|Time-Series|BUCHARESTSE|INDICES|Free
Bitcoin Watch|Time-Series|BITCOINWATCH|MINING|Free
Korea Exchange|Time-Series|KRX|KRDRVFUBMAH2018|Free
multpl.com|Time-Series|MULTPL|SP500_PE_RATIO_MONTH|Free
US Federal Reserve Data Releases|Time-Series|FED|RXI_N_A_VE|Free
Deutsche Bundesbank Data Repository|Time-Series|BUNDESBANK|BBQFS_A_DE_LIFE_NET_RET_INV_MILD__X_0000|Free
Financial Industry Regulatory Authority|Time-Series|FINRA|FORF_XMMRF|Free
Central Bank of Brazil Statistical Database|Time-Series|BCB|195|Free
Organization of the Petroleum Exporting Countries|Time-Series|OPEC|ORB|Free
Global Petroleum Prices|Time-Series|GPP|CFP_DZA|Free
United Kingdom Office of National Statistics|Time-Series|UKONS|L4PP_A|Free
Bank of England Official Statistics|Time-Series|BOE|XUDLB8KL|Free
Bank for International Settlements|Time-Series|BIS|EERBR_RBVE|Free
Freddie Mac|Time-Series|FMAC|30US|Free
Dalian Commodities Exchange|Time-Series|DCE|JDX2018|Free
WIKI Commodity Prices|Time-Series|COM|AG_GBP|Free
Baker Hughes Investor Relations|Time-Series|BKRHUGHES|RIGS_BY_STATE_LOUISIANA_INWAT|Free
Federal Reserve Bank of New York|Time-Series|FRBNY|ACM_D|Free
US Treasury|Time-Series|USTREASURY|REALLONGTERM|Free
European Commission Annual Macro-Economic Database|Time-Series|AMECO|ALB_1_0_0_0_YPUT8|Free
Singapore Exchange|Time-Series|SGX|NKZ2022|Free
Institute for Supply Management|Time-Series|ISM|BUY_CAP_EXP|Free
Unicorn Research Corporation|Time-Series|URC|NASDAQ_UNCH|Free
Merrill Lynch|Time-Series|ML|EMHYY|Free
JODI Oil World Database|Time-Series|JODI|OIL_TPREBK_THA|Free
Association for Real Estate Securitization|Time-Series|ARES|JPI_R|Free
Montreal Exchange|Time-Series|MX|ONXJ2018|Free
Multi Commodity Exchange India|Time-Series|MCX|SIMZ2017|Free
Lloyd's List|Time-Series|LLOYDS|BSI|Free
China Financial Futures Exchange|Time-Series|CFFEX|TFU2018|Free
Nikkei|Time-Series|NIKKEI|ALL_STOCK|Free
European Commission Business and Consumer Surveys|Time-Series|ECBCS|CST_TOT_QU_RS|Free
Center for Applied Studies on Applied Economics (Brazil)|Time-Series|CEPEA|CALF_C|Free
Minneapolis Grain Exchange|Time-Series|MGEX|MWZ2018|Free
BLS Inflation & Prices|Time-Series|BLSI|WPU115|Free
Australian Bureau of Statistics|Time-Series|AUSBS|32220C9_A83748166R|Free
Bitfinex|Time-Series|BITFINEX|BTCEUR|Free
World Federation of Exchanges|Time-Series|WFE|SHARES_JAPANEXCHANGEGROUPINC|Free
Paris School of Economics|Time-Series|PSE|ANNINC992I_PALL_ZW|Free
Top Flight Grain Co-operative|Time-Series|TFGRAIN|SOYBEANS|Free
Zhengzhou Commodities Exchange|Time-Series|ZCE|ZCZ2018|Free
Swiss Exchange|Time-Series|SIX|DE000A1TNV91CHF|Free
Bitcoin Charts Exchange Rate Data|Time-Series|BCHARTS|ABUCOINSEUR|Free
Blockchain|Time-Series|BCHAIN|MWNUS|Free
United Nations World Tourism|Time-Series|UTOR|EXTUR_5206|Free
United Nations National Accounts Estimates|Time-Series|UNAE|GVAKD_LKA|Free
United Nations National Accounts Official Country Data|Time-Series|UNAC|CCGVAI3_TE_MAR|Free
United Nations Labour Market Indicators|Time-Series|ULMI|YUNEM_F_GBR|Free
United Nations Industrial Development Organization|Time-Series|UIST|EST_CHEM_MDA|Free
United Nations Industrial Commodities|Time-Series|UINC|MEMA_LVA|Free
United Nations International Financial Statistics|Time-Series|UIFS|OF_FAS_MEX|Free
United Nations Information and Communication Technology|Time-Series|UICT|INT_SSD|Free
United Nations Global Indicators|Time-Series|UGID|POPTOT_|Free
United Nations Greenhouse Gas Inventory|Time-Series|UGHG|USA|Free
United Nations Gender Information|Time-Series|UGEN|PPRJ_5001|Free
United Nations Food and Agriculture|Time-Series|UFAO|CR_YAUT_5204|Free
United Nations Environment Statistics|Time-Series|UENV|WATER_TTO|Free
United Nations Energy Statistics|Time-Series|UENG|EW_PROD_KNA|Free
United Nations Commodity Trade|Time-Series|UCOM|MBME_LAO|Free
The Economist - Big Mac Index|Time-Series|ECONOMIST|BIGMAC_VNM|Free
NAAIM Exposure Index|Time-Series|NAAIM|NAAIM|Free
Bank of France|Time-Series|BOF|QS_D_IEUTIO9M|Free
Organisation for Economic Co-operation and Development|Time-Series|OECD|HIGH_AGLINK_2010_ZAF_WT_QC|Free
Osaka Securities Exchange|Time-Series|OSE|JGBLMDM2018|Free
Central Bank of Argentina|Time-Series|BCRA|MVAR_CVS|Free
Economic Cycle Research Institute|Time-Series|ECRI|USLEADING|Free
Tokyo Commodities Exchange|Time-Series|TOCOM|33K2018|Free
Federal Reserve Bank of Philadelphia|Time-Series|FRBP|RR3_TBILL_CPCE_MD|Free
Federal Reserve Bank of Kansas City|Time-Series|FRKC|AGR_FIN_B_4A|Free
American Association of Individual Investors|Time-Series|AAII|AAII_SENTIMENT|Free
Australian Securities Exchange|Time-Series|ASX|IRZ2022|Free
Osaka Dojima Commodity Exchange|Time-Series|ODE|ORM2018|Free
Ministry of Finance Japan|Time-Series|MOFJ|INTEREST_RATE_JAPAN_40Y|Free
Rogers International Commodity Indices|Time-Series|RICI|RICI|Free
Tokyo Financial Exchange|Time-Series|TFX|JBAG2018|Free
ADP Research Institute|Time-Series|ADP|EMPL_SERVICE_PR|Free
Prague Stock Exchange|Time-Series|PRAGUESE|PX_TR|Free
Solar Influences Data Analysis Center|Time-Series|SIDC|SUNSPOTS_13|Free
Borsa Italiana|Time-Series|BITAL|U2018|Free
BLS Employment & Unemployment|Time-Series|BLSE|CEU9000000010|Free
Taiwan Futures Exchange|Time-Series|TAIFEX|MTXF2018|Free
Bitstamp|Time-Series|BITSTAMP|USD|Free
Malta Stock Exchange|Time-Series|MALTASE|INDEX|Free
Zagreb Stock Exchange|Time-Series|ZAGREBSE|CROBEXPLUS|Free
Bank of Japan|Time-Series|BOJ|COAEG2011401CFY43000|Free
Bureau of Economic Analysis|Time-Series|BEA|T20804_M|Free
Monetary Authority of Singapore|Time-Series|MAS|SGSB|Free
Central Bank of the Republic of Turkey|Time-Series|CBRT|TP_MK_ISL_MK|Free
National Bureau of Statistics of China|Time-Series|NBSC|A19011D_M|Free
Belgrade Stock Exchange|Time-Series|BELGRADESE|BELEXLINE|Free
BATS U.S. Stock Exchanges|Time-Series|BATS|EDGA_SPDV|Free
United States Misery Index|Time-Series|USMISERY|INDEX|Free
Association of Mutual Funds in India|Time-Series|AMFI|142068|Free
Asia Bond Market Initiative|Time-Series|ABMI|LIQUIDITY_BID_ASK_SPREADS_CHN|Free
U.S. Agency for International Development|Time-Series|USAID|MILCONT_STKITTSANDNEVIS|Free
Bombay Stock Exchange|Time-Series|BSE|BOM539658|Free
Federal Reserve Bank of Cleveland|Time-Series|FRBC|CREDIT_EASING|Free
Ljubljana Stock Exchange (Slovenia)|Time-Series|LJUBSE|INDEX|Free
National Institute of Statistics and Economic Studies (France)|Time-Series|INSEE|1786_001774105_A|Free
BTER|Time-Series|BTER|BTMETH|Free
Bank of Canada Statistical Database|Time-Series|BOC|V39079|Free
Renaissance Capital|Time-Series|RENCAP|USIPO|Free
Russian Federation Statistics Service|Time-Series|RFSS|FIMONEY|Free
BLS Productivity|Time-Series|BLSP|PRS85006113|Free
Swiss National Bank|Time-Series|SNB|SNBIPROGA|Free
Eurekahedge|Time-Series|EUREKA|MEI27|Free
Bank of Mexico|Time-Series|BDM|SF41080|Free
Cass Information Systems|Time-Series|CASS|CFI|Free
European Network of Transmission System Operators For Electricity|Time-Series|ENTSOE|MK_TRANS|Free
Wells Fargo Home Mortgage Loans|Time-Series|WFC|RR_CON_51ARM_APR|Free
Ukrainian Exchange|Time-Series|UKRSE|UX|Free
Amman Stock Exchange|Time-Series|AMMANSE|INDEX_TECHNOLOGY_AND_COMMUNICATION|Free
Federal Deposit Insurance Corporation|Time-Series|FDIC|SI20_OA|Free
Perth Mint|Time-Series|PERTH|USD_JPY_D|Free
Thomas Brinkhoff: City Populations|Time-Series|CITYPOP|CITY_YANGIQALAHTKRAFGHANISTAN|Free
Liv-Ex|Time-Series|LIVEX|LVX_50_D|Free
Social Security Administration|Time-Series|SOCSEC|TRUST_FUND_OP|Free
Reserve Bank of Australia|Time-Series|RBA|A03_4|Free
Stock Exchange of Thailand|Time-Series|THAISE|MI_MAI|Free
Quito Stock Exchange (Ecuador)|Time-Series|QUITOSE|QUITO|Free
US Treasury - Financial Management Service|Time-Series|FMSTREAS|MTS|Free
Inflation Rate|Time-Series|RATEINF|CPI_CHE|Free
PFTS Stock Exchange (Ukraine)|Time-Series|PFTS|INDEX|Free
Canadian Mortgage and Housing Corporation|Time-Series|CMHC|SVRPM|Free
World Aluminium|Time-Series|WORLDAL|PALPROD|Free
National Association of Homebuilders|Time-Series|NAHB|INTRATES|Free
BLS International|Time-Series|BLSN|EIUIH14243|Free
Wu-Xia Shadow Federal Funds Rate|Time-Series|SHADOWS|EUROPE|Free
NYSE Factbook|Time-Series|NYXDATA|MARKET_CREDIT|Free
Bank of Russia|Time-Series|BANKRUSSIA|MONEYSUPPLY_FULL|Free
Tunis Stock Exchange|Time-Series|TUNISSE|TUNINDEX20|Free
BLS Pay & Benefits|Time-Series|BLSB|WSU020|Free
Puerto Rico Institute of Statistics|Time-Series|IRPR|PMINSA|Free
GDAX (Global Digital Asset Exchange)|Time-Series|GDAX|ETH_EUR|Free
Local Bitcoins|Time-Series|LOCALBTC|ETH|Free
Stock Exchange of Mauritius|Time-Series|MAURITIUSSE|INDICES|Free
